Номер	Год	Завод	ID детали
23372	1978	29	615508399
129360	2006	5	615520479
517697	1985	39	615618841
11200	1983	39	615624575
311685	1985	39	615624635
56691	1984	39	615628187
2800	2010	1164	615635896
65345	2005	5	615648940
9586	1992	5	615699877
52455	1989	5	615707732
43011	2005	5	615709870
994356	2003	29	615710325
315928	1990	39	615714261
12508	1990	39	615721343
514347	1991	39	615890368
62287	1971	5	615950004
20319	1980	186	616016127
36531	1994	39	616032629
871602	1990	29	616048478
11428	2021	1226	616114767
52556	1970	39	616119908
632444	1996	29	616123374
68542	1972	5	616190413
16894	1994	5	616250055
41377	1986	5	616250086
2183	1994	14	616254927
513442	1989	29	616261771
40688	1969	5	616277549
57150	1981	39	616284699
161240	1984	29	616291930
665	1983	60	616307381
40030	2021	12	616307430
40039	2021	12	616307433
40129	2021	12	616307450
40134	2021	12	616307453
106224	2004	29	616327619
40081	2021	12	616335986
41770	2006	1175	616346431
524486	1981	29	616354766
197561	2014	5	616355356
804379	1986	29	616364072
163203	1984	29	616367971
870252	2010	29	616374148
817164	1990	29	616378877
22369	1987	5	616384012
9405	2010	5	616384699
29128	1981	186	616389084
717203	2017	5	616396561
40049	2021	12	616404275
40063	2021	12	616404281
40151	2021	12	616404298
40174	2021	12	616404301
36297	1987	39	616414337
539765	1994	29	616418977
18811	1977	5	616423242
32663	2002	39	616446173
195097	2014	5	616454995
862817	1982	29	616472920
719005	2017	5	616504501
6750	2007	5	616506539
55716	1983	29	616512974
265744	1984	5	616519930
288533	1980	29	616520654
16497	1981	186	616524378
62802	2002	39	616524779
754377	1986	29	616528563
32639	2019	2002	616535338
11271	1974	60	616536372
114647	2021	5	616547409
526808	2021	5	616547415
525469	2021	5	616547418
7083	1987	119	616547484
22614	2021	1226	616550727
40864	2001	5	616552393
22574	2021	1226	616554660
22527	2021	1226	616554663
16351	1980	5	616556369
2188	2019	2002	616557431
8135	1979	29	616565420
938457	1983	29	616565520
161402	1979	29	616569831
555384	1994	29	616574205
161420	2012	5	616577674
151892	1984	5	616584979
52789	2002	5	616585337
663741	1986	29	616596320
75252	1987	5	616596389
254589	1992	29	616596930
511561	1995	39	616599695
695924	1986	29	616603877
14159	2002	39	616604235
192290	1984	29	616610529
75831	2011	1175	616610641
1397	2002	1175	616611050
144675	2012	5	616611090
4173	1993	39	616616692
194602	1967	5	616620485
1535	1994	5	616620914
67559	1974	39	616624876
820550	2010	29	616628514
134984	1987	29	616628571
620870	1981	29	616631236
43182	1993	39	616631242
2069	1972	93	616637010
257456	2008	5	616640737
898388	2010	29	616641166
42589	1987	29	616645042
31464	1992	39	616645500
35797	2008	39	616647432
317230	2011	5	616648262
116952	2009	5	616648265
4860	1992	1175	616657316
68893	1990	5	616659474
55018	1989	5	616659987
172602	2014	5	616662136
22347	2002	1175	616663304
86853	2002	5	616667289
123942	2004	29	616671511
21442	1986	60	616671571
28176	2004	39	616679712
19450	1989	39	616682480
6114	2013	14	616682981
50540	2005	1175	616683539
6449	2010	1164	616692401
30004	1985	5	616692653
31469	1970	6712	616693981
565585	1981	29	616694382
53831	2001	5	616695899
211998	2008	5	616696821
134109	2010	5	616702540
46134	1984	5	616703593
521495	2021	5	616703705
9413	1983	29	616704272
963403	2002	29	616713935
242819	2012	29	616713958
61583	1973	5	616714983
875662	1982	29	616715003
997906	1989	29	616715092
515460	1979	39	616716861
712023	1996	29	616723141
1235	1998	29	616723353
11311	1976	29	616727589
58755	1990	5	616727618
1980	2007	1164	616728628
314691	2012	29	616736858
262413	2008	5	616740960
6676	1982	39	616746198
41166	1971	6712	616750180
1779	1972	39	616753271
13402	2000	39	616757276
516039	1984	39	616757685
225884	1984	29	616757797
611381	1981	29	616758034
33920	2003	39	616760167
23130	1996	5	616760347
401915	2021	12	616761807
400650	2021	12	616761810
401150	2021	12	616761821
401251	2021	12	616761827
401718	2021	12	616761841
6828	2004	1216	616762992
4712	1995	5	616766072
214791	1983	39	616766710
60503	1984	39	616766862
931852	2010	29	616771113
129300	1979	29	616772037
4996	1985	6711	616773640
333800	1988	29	616779523
733545	2017	5	616784392
37274	1984	39	616787320
276372	2008	5	616787426
9874	2011	1164	616787429
118039	1976	5	616792212
58788	1980	39	616792999
521154	1989	29	616797539
11339	2011	1175	616802265
88059	1990	29	616807074
771462	1990	29	616807804
767941	1990	29	616810466
73278	1972	5	616811519
87594	1977	5	616815206
7445	1973	39	616815209
261395	1988	29	616817350
13982	2007	39	616820871
2169	1974	29	616825720
49383	1978	29	616826029
610200	1985	29	616826318
934162	1983	29	616826570
310250	1993	29	616826590
44457	1992	5	616830340
704877	2017	5	616833589
706566	2017	5	616833666
12563	2008	1164	616838727
26652	2011	29	616839437
44428	1973	93	616842634
269299	2008	5	616851044
11593	1997	39	616851121
411745	1988	29	616851161
199425	1988	29	616851522
253212	1984	5	616855967
983324	1991	29	616855970
614570	1985	39	616856019
42843	1996	5	616856030
1802	1986	6711	616857178
274003	2011	5	616864867
11860	1972	93	616867941
134394	2010	5	616878804
242998	2021	5	616878970
244004	2021	5	616878973
242859	2021	5	616878987
240441	2021	5	616878993
485701	1989	29	616884961
2043	1997	1175	616885133
504942	1994	29	616890895
55746	1992	39	616891908
17472	2005	5	616897868
147985	2007	5	616897902
68158	2012	1175	616899067
723238	2017	5	616899826
834159	1990	29	616901761
142020	2012	5	616906753
973480	2010	29	616924517
14841	2002	39	616924715
184098	2012	5	616931419
402448	2021	12	616943644
402366	2021	12	616943650
402349	2021	12	616943664
238	2021	1275	616943687
